r,g,b,label
164,161,168,1
160,157,164,1
157,154,161,1
154,151,158,1
142,139,146,1
127,124,131,1
119,116,123,1
119,116,123,1
123,120,127,1
124,121,128,1
42,58,57,1
43,59,58,1
44,60,59,1
43,59,58,1
42,58,57,1
242,245,252,2
244,247,254,2
245,253,255,2
246,254,255,2
236,244,247,2
238,246,249,2
233,241,244,2
232,240,243,2
242,252,255,2
233,243,252,2
237,248,254,2
241,252,255,2
240,251,255,2
234,245,251,2
228,239,243,2
229,240,244,2
231,242,246,2
231,242,246,2
225,232,238,2
229,236,242,2
233,240,246,2
240,247,253,2
249,255,255,2
243,250,255,2
209,216,224,2
